stage_id,race_id,race_name,race_date,stage_date,stage_name,stage_number,stage_type,classification,nation,race_link,stage_link,race_category,stage_points_scale,stage_ranking,profile_score,parcours_type,parcours_type_name,pcs_city_start,pcs_city_finish,start_time,avg_speed_winner,distance,elevation_gain,elevation_loss,elevation_average,elevation_maximum,elevation_minimum,temp_avg,temp_max,temp_min,_1000_to_1500_m,_1500_to_2000_m,_2000_to_2500_m,_2500_to_3000_m,_3000_to_3500_m,race_total_distance,race_total_elevation_gain
296,146,Tirreno-Adriatico,2022-03-07,2022-03-10,Stage 4,4,Stage,2.UWT,it,https://www.procyclingstats.com/race/tirreno-adriatico/2022,https://www.procyclingstats.com/race/tirreno-adriatico/2022/stage-4,ME - Men Elite,2.WT.Stage,10,131,3,"Hills, uphill finish",Cascata delle Marmore,Bellante,12:00,41.989,202000.0,3092.0,,,,,,,,,,,,,,
297,146,Tirreno-Adriatico,2022-03-07,2022-03-11,Stage 5,5,Stage,2.UWT,it,https://www.procyclingstats.com/race/tirreno-adriatico/2022,https://www.procyclingstats.com/race/tirreno-adriatico/2022/stage-5,ME - Men Elite,2.WT.Stage,10,191,3,"Hills, uphill finish",Sefro,Fermo,13:20,42.295,155000.0,2402.0,,,,,,,,,,,,,,
298,146,Tirreno-Adriatico,2022-03-07,2022-03-12,Stage 6,6,Stage,2.UWT,it,https://www.procyclingstats.com/race/tirreno-adriatico/2022,https://www.procyclingstats.com/race/tirreno-adriatico/2022/stage-6,ME - Men Elite,2.WT.Stage,10,266,5,"Mountains, uphill finish",Apecchio,Carpegna,10:50,39.216,215000.0,3817.0,,,,,,,,,,,,,,
299,146,Tirreno-Adriatico,2022-03-07,2022-03-13,Stage 7,7,Stage,2.UWT,it,https://www.procyclingstats.com/race/tirreno-adriatico/2022,https://www.procyclingstats.com/race/tirreno-adriatico/2022/stage-7,ME - Men Elite,2.WT.Stage,10,19,2,"Hills, flat finish",San Benedetto del Tronto,San Benedetto del Tronto,11:15,43.37,159000.0,1296.0,,,,,,,,,,,,,,
300,147,UAE Tour,2022-02-20,2022-02-20,Stage 1,1,Stage,2.UWT,ae,https://www.procyclingstats.com/race/uae-tour/2022,https://www.procyclingstats.com/race/uae-tour/2022/stage-1,ME - Men Elite,2.WT.Stage,31,20,1,Flat,Madinat Zayed,Madinat Zayed,12:15  (09:15 CET),39.07,184000.0,1303.0,,,,,,,,,,,,,,
301,147,UAE Tour,2022-02-20,2022-02-21,Stage 2,2,Stage,2.UWT,ae,https://www.procyclingstats.com/race/uae-tour/2022,https://www.procyclingstats.com/race/uae-tour/2022/stage-2,ME - Men Elite,2.WT.Stage,31,1,1,Flat,Hudayriyat Island,Abu Dhabi Breakwater,12:30  (09:30 CET),40.499,176000.0,337.0,,,,,,,,,,,,,,
302,147,UAE Tour,2022-02-20,2022-02-22,Stage 3 (ITT),3,Individual Time Trial,2.UWT,ae,https://www.procyclingstats.com/race/uae-tour/2022,https://www.procyclingstats.com/race/uae-tour/2022/stage-3,ME - Men Elite,2.WT.Stage,31,0,1,Flat,Ajman,Ajman,14:15  (11:15 CET),55.575,9000.0,9.0,,,,,,,,,,,,,,
303,147,UAE Tour,2022-02-20,2022-02-23,Stage 4,4,Stage,2.UWT,ae,https://www.procyclingstats.com/race/uae-tour/2022,https://www.procyclingstats.com/race/uae-tour/2022/stage-4,ME - Men Elite,2.WT.Stage,31,188,5,"Mountains, uphill finish",Fujairah Fort,Jebel Jais,11:50  (08:50 CET),37.526,181000.0,2646.0,,,,,,,,,,,,,,
304,147,UAE Tour,2022-02-20,2022-02-24,Stage 5,5,Stage,2.UWT,ae,https://www.procyclingstats.com/race/uae-tour/2022,https://www.procyclingstats.com/race/uae-tour/2022/stage-5,ME - Men Elite,2.WT.Stage,31,2,1,Flat,Ras al Khaimah Corniche,Al Marjan Island,12:20  (09:20 CET),42.476,182000.0,544.0,,,,,,,,,,,,,,
305,147,UAE Tour,2022-02-20,2022-02-25,Stage 6,6,Stage,2.UWT,ae,https://www.procyclingstats.com/race/uae-tour/2022,https://www.procyclingstats.com/race/uae-tour/2022/stage-6,ME - Men Elite,2.WT.Stage,31,0,1,Flat,Expo 2020 Dubai,Expo 2020 Dubai,12:20  (09:20 CET),45.346,180000.0,388.0,,,,,,,,,,,,,,
