team_id,season,team_gen_id,team_name,team_class,team_oldest_pcs_link,pcs_link,team_pcs_id
401,1992,25650,Tulip Computers - Koga,,https://www.procyclingstats.com/team/fangio-amerlinckx-campagnolo-1980,https://www.procyclingstats.com/team/tulip-computers-koga-1992/overview/,2829.0
402,1991,25650,Tulip Computers,,https://www.procyclingstats.com/team/fangio-amerlinckx-campagnolo-1980,https://www.procyclingstats.com/team/tulip-computers-1991/overview/,2829.0
403,1990,25650,I.O.C. - Tulip Computers,,https://www.procyclingstats.com/team/fangio-amerlinckx-campagnolo-1980,https://www.procyclingstats.com/team/i.o.c.-tulip-computers-1990/overview/,2829.0
404,1989,25650,ADR - Agrigel - Bottecchia,,https://www.procyclingstats.com/team/fangio-amerlinckx-campagnolo-1980,https://www.procyclingstats.com/team/adr-agrigel-bottecchia-1989/overview/,2829.0
405,1988,25650,ADR - Mini Flat - IOC,,https://www.procyclingstats.com/team/fangio-amerlinckx-campagnolo-1980,https://www.procyclingstats.com/team/adr-1988/overview/,2829.0
406,1987,25650,ADR - Fangio - IOC - MBK,,https://www.procyclingstats.com/team/fangio-amerlinckx-campagnolo-1980,https://www.procyclingstats.com/team/adr-fangio-ioc-mbk-1987/overview/,2829.0
407,1986,25650,Fangio - Caroche,,https://www.procyclingstats.com/team/fangio-amerlinckx-campagnolo-1980,https://www.procyclingstats.com/team/fangio-caroche-1986/overview/,2829.0
408,1985,25650,Fangio - Ecoturbo - Eylenbosch,,https://www.procyclingstats.com/team/fangio-amerlinckx-campagnolo-1980,https://www.procyclingstats.com/team/fangio-ecoturbo-eylenbosch-1985/overview/,2829.0
409,1984,25650,Fangio - Marc - Ecoturbo - Mavic,,https://www.procyclingstats.com/team/fangio-amerlinckx-campagnolo-1980,https://www.procyclingstats.com/team/fangio-marc-ecoturbo-mavic-1984/overview/,2829.0
410,1983,25650,Fangio - Tonissteiner - O.m.trucks - Mavic,,https://www.procyclingstats.com/team/fangio-amerlinckx-campagnolo-1980,https://www.procyclingstats.com/team/fangio-tonissteiner-o.m.trucks-mavic-1983/overview/,2829.0
