cyclist_id,pcs_link,strava_link,strava_id
1541,https://www.procyclingstats.com/rider/domenico-pozzovivo,https://www.strava.com/athletes/6800300,6800300
1556,https://www.procyclingstats.com/rider/dominique-rollin,https://www.strava.com/pros/423495,423495
1568,https://www.procyclingstats.com/rider/dorian-godon,https://www.strava.com/pros/1809256,1809256
1578,https://www.procyclingstats.com/rider/dries-de-bondt,https://www.strava.com/athletes/1508855,1508855
1580,https://www.procyclingstats.com/rider/dries-devenyns,https://www.strava.com/pros/3949717,3949717
1591,https://www.procyclingstats.com/rider/dylan-sunderland,https://www.strava.com/athletes/1660424,1660424
1593,https://www.procyclingstats.com/rider/dylan-van-baarle,https://www.strava.com/pros/490505,490505
1599,https://www.procyclingstats.com/rider/eddy-fine,https://www.strava.com/athletes/2905568,2905568
1620,https://www.procyclingstats.com/rider/edoardo-affini,https://www.strava.com/pros/37167909,37167909
1623,https://www.procyclingstats.com/rider/edoardo-zardini,https://www.strava.com/athletes/3689004,3689004
1625,https://www.procyclingstats.com/rider/eduard-michael-grosu,https://www.strava.com/pros/1915664,1915664
1626,https://www.procyclingstats.com/rider/eduard-prades,https://www.strava.com/pros/9389733,9389733
1635,https://www.procyclingstats.com/rider/eduardo-sepulveda,https://www.strava.com/pros/13194699,13194699
1638,https://www.procyclingstats.com/rider/edvaldas-siskevicius,https://www.strava.com/pros/7344078,7344078
1639,https://www.procyclingstats.com/rider/edward-anderson,https://www.strava.com/athletes/2346552,2346552
1644,https://www.procyclingstats.com/rider/edward-king,https://www.strava.com/pros/8758,8758
1647,https://www.procyclingstats.com/rider/edward-theuns,https://www.strava.com/pros/1668485,1668485
1649,https://www.procyclingstats.com/rider/edwin-avila,https://www.strava.com/athletes/6094073,6094073
1657,https://www.procyclingstats.com/rider/egan-bernal,https://www.strava.com/pros/2119306,2119306
1661,https://www.procyclingstats.com/rider/einer-augusto-rubio-reyes,https://www.strava.com/athletes/13090041,13090041
1671,https://www.procyclingstats.com/rider/elias-van-breussegem,https://www.strava.com/athletes/3987328,3987328
1672,https://www.procyclingstats.com/rider/elie-gesbert,https://www.strava.com/athletes/2321729,2321729
1685,https://www.procyclingstats.com/rider/emanuel-buchmann,https://www.strava.com/pros/2685219,2685219
1694,https://www.procyclingstats.com/rider/emil-vinjebo,https://www.strava.com/athletes/1675720,1675720
1699,https://www.procyclingstats.com/rider/emils-liepins,https://www.strava.com/pros/10163092,10163092
1707,https://www.procyclingstats.com/rider/enrico-battaglin,https://www.strava.com/pros/3018523,3018523
1768,https://www.procyclingstats.com/rider/erik-fetter,https://www.strava.com/athletes/3909207,3909207
1770,https://www.procyclingstats.com/rider/erik-nordsaeter-resell,https://www.strava.com/athletes/972735,972735
1775,https://www.procyclingstats.com/rider/erlend-blikra,https://www.strava.com/athletes/4013766,4013766
